name,source_url,license,status,planned_use,local_path,notes
Car Crash with Glass,https://freesound.org/people/magnuswaker/sounds/592388/,CC0,integrated,crash transient,assets/game/audio/impact/,Metal panels and glass construction; high-quality preview excerpted as short transient
S36-09 Car Crash Metal Foley,https://freesound.org/people/craigsmith/sounds/675475/,CC0,integrated,crunch and debris layers,assets/game/audio/impact/,Vintage metal recording; high-quality preview excerpted into distinct events
Metal Scraping Scratching,https://freesound.org/people/JSilverSound/sounds/615837/,CC0,integrated,metal scrape loops,assets/game/audio/impact/,Processed field recording; two nonoverlapping excerpts crossfaded into loops
Metallic Crash,https://freesound.org/people/BehanSean/sounds/422438/,CC0,integrated,metal transient,assets/game/audio/impact/,High-quality preview excerpt; short onset
Glass Breaking,https://freesound.org/people/AlterKartoffelsack/sounds/465946/,CC0,integrated,glass debris,assets/game/audio/impact/,High-quality preview excerpt; quiet detail tail
Hard Plastic Crack,https://freesound.org/people/Doshke/sounds/825839/,CC0,integrated,plastic debris,assets/game/audio/impact/,High-quality preview excerpt; quiet detail tail
Cinderblock Scrape,https://freesound.org/people/patchytherat/sounds/530989/,CC0,integrated,hard surface scrape loops,assets/game/audio/impact/,High-quality preview excerpt; two nonoverlapping segments crossfaded into loops
Panda3D,https://github.com/panda3d/panda3d,Modified BSD,dependency,engine,Python environment,Runtime dependency
panda3d-simplepbr,https://github.com/Moguri/panda3d-simplepbr,BSD-3-Clause,dependency,PBR rendering,Python environment,Runtime dependency
panda3d-gltf,https://github.com/Moguri/panda3d-gltf,BSD-3-Clause,dependency,GLB and glTF loading,Python environment,Runtime dependency
CoastalDrive asphalt grain,project-generated,project source,integrated,road texture,src/scene.py,Deterministic procedural texture; no external image download
CoastalDrive H3 paint palettes,project-generated on Kenney CC0 models,CC0 base models; project code,integrated,five paint colors and seeded traffic appearances,src/skins.py,No texture files altered; body paint geometry split at runtime; existing model licenses retained
CoastalDrive 6B-08 UI gradients,project-generated,project source,integrated,blue-gray panel and button textures,assets/game/ui/,Generated deterministically by tools/make_ui_textures.py; no external image download
